項目	母数	分子	倍率	確率	偏差値	備考
乃木坂46 一期生	38934	36	1081.5 	0.092%	81.13 	
乃木坂46 二期生	16302	14	1164.4 	0.086%	81.35 	
乃木坂46 三期生	48986	12	4082.2 	0.024%	84.86 	
乃木坂46 四期生	129182	39	3312.4 	0.030%	84.30 	
乃木坂46 五期生	87852	11	7986.5 	0.013%	86.62 	
日向坂46 一期生	12000	11	1091.0 	0.092%	81.16 	
日向坂46 二期生	15000	10	1500.0 	0.067%	82.09 	
日向坂46 三期生	129182	39	3312.0 	0.030%	84.30 	
日向坂46 四期生	51038	12	4253.0 	0.024%	84.97 	
櫻坂46 一期生	22509	22	1023.0 	0.098%	80.97 	
櫻坂46 二期生	129182	39	3312.0 	0.030%	84.30 	
櫻坂46 三期生	45014	11	4092.0 	0.024%	84.87 	
僕が見たかった青空  一期生	35678	23	1551.0 	0.064%	82.18 	
高畑充希	9621	1	9621.0 	0.010%	87.09 	ホリプロタレントスカウトキャラバン
榊原郁恵	18000	1	18000.0 	0.006%	88.65 	ホリプロタレントスカウトキャラバン
井森美幸	112358	1	112358.0 	0.001%	92.91 	ホリプロタレントスカウトキャラバン
戸田菜穂	32526	1	32526.0 	0.003%	90.07 	ホリプロタレントスカウトキャラバン
深田恭子	19130	1	19130.0 	0.005%	88.80 	ホリプロタレントスカウトキャラバン
平山あや	38127	1	38127.0 	0.003%	90.44 	ホリプロタレントスカウトキャラバン
石原さとみ	32109	1	32109.0 	0.003%	90.04 	ホリプロタレントスカウトキャラバン
足立梨花	51923	1	51923.0 	0.002%	91.16 	ホリプロタレントスカウトキャラバン
小島瑠璃子	33910	1	33910.0 	0.003%	90.17 	ホリプロタレントスカウトキャラバン
佐藤仁美	43723	1	43723.0 	0.002%	90.76 	ホリプロタレントスカウトキャラバン
上原さくら	27654	1	27654.0 	0.004%	89.69 	ホリプロタレントスカウトキャラバン
山瀬まみ	110000	1	110000.0 	0.001%	92.86 	ホリプロタレントスカウトキャラバン
浜口順子	43325	1	43325.0 	0.002%	90.74 	ホリプロタレントスカウトキャラバン
髙橋ひかる	81031	1	81031.0 	0.001%	92.18 	全日本国民的美少女コンテスト
井本彩花	80150	1	80150.0 	0.001%	92.15 	全日本国民的美少女コンテスト
上白石萌歌	44120	1	44120.0 	0.002%	90.78 	東宝「シンデレラ」オーディション
長澤まさみ	35153	1	35153.0 	0.003%	90.25 	東宝「シンデレラ」オーディション
沢口靖子	31653	1	31653.0 	0.003%	90.01 	東宝「シンデレラ」オーディション
箭内夢菜	5981	2	2990.5 	0.033%	84.02 	ミスセブンティーン
岡崎紗絵	6515	4	1628.8 	0.061%	82.32 	ミスセブンティーン
森川葵	5575	5	1115.0 	0.090%	81.22 	ミスセブンティーン
橋本愛	5267	4	1316.8 	0.076%	81.71 	ミスセブンティーン
久間田琳加	12272	5	2454.4 	0.041%	83.48 	ニコラモデルオーディション
藤田ニコル	14076	5	2815.2 	0.036%	83.86 	ニコラモデルオーディション
川口春奈	7780	5	1556.0 	0.064%	82.19 	ニコラモデルオーディション
能年玲奈	5986	6	997.7 	0.100%	80.90 	ニコラモデルオーディション
新垣結衣	5530	5	1106.0 	0.090%	81.20 	ニコラモデルオーディション
AKB48 第一期	7924	17	466.1 	0.215%	78.56 	
AKB48 第二期	11892	19	625.9 	0.160%	79.48 	
AKB48 第三期	12828	18	712.7 	0.140%	79.88 	
AKB48 第四期	10000	18	555.6 	0.180%	79.11 	
在京キー局女子アナ			3000.0 	0.033%	84.03 	(推定)日経は750倍としてるが流石に低すぎ
地方局女子アナ			300.0 	0.333%	77.13 	(推定)
土屋炎伽	4400	1	4400.0 	0.023%	85.06 	ミス・ジャパン 2019
#小川千奈	4600	1	4600.0 	0.022%	85.18 	#ミス・ジャパン 2020
ミスさんさ踊り 2017	40	5	8.0 	12.500%	61.50 	
#ミスさんさ踊り 2018	34	5	6.8 	14.706%	60.49 	#小川千奈
ミスさんさ踊り 2019	29	5	5.8 	17.241%	59.45 	
ミスさんさ踊り 2021	36	5	7.2 	13.889%	60.85 	
ミスさんさ踊り 2022	21	5	4.2 	23.810%	57.12 	
ミスさんさ踊り 2023	48	5	9.6 	10.417%	62.58 	
ミスさんさ踊り 2024	64	5	12.8 	7.813%	64.18 	
ミスさんさ踊り 2025	37	5	7.4 	13.514%	61.02 	
ミスコン			100.0 	1.000%	73.26 	(推定)
司法書士 2024	13960	737	18.9 	5.279%	66.18 	
行政書士 2024	47785	6165	7.8 	12.902%	61.31 	
宅建 2024	241436	44992	5.4 	18.635%	58.91 	
日商簿記1級 2025	11827	1343	8.8 	11.355%	62.08 	
日商簿記2級 2025	6560	1193	5.5 	18.186%	59.08 	
日商簿記3級 2025	22163	8024	2.8 	36.204%	53.53 	
応用情報技術者 2025春	58206	8527	6.8 	14.650%	60.52 	
ITストラテジスト 2025春	7889	836	9.4 	10.597%	62.48 	
システムアーキテクト 2025春	6021	616	9.8 	10.231%	62.69 	
ネットワークスペシャリスト 2025春	17297	2126	8.1 	12.291%	61.61 	
情報処理安全確保支援士 2025春	22645	3134	7.2 	13.840%	60.88 	
ITサービスマネージャ 2025春	2898	295	9.8 	10.179%	62.71 	
プロジェクトマネージャ 2024秋	13481	1195	11.3 	8.864%	63.49 	
データベーススペシャリスト 2024秋	14549	1744	8.3 	11.987%	61.76 	
エンベデッドシステムスペシャリスト 2024秋	1949	231	8.4 	11.852%	61.82 	
システム監査技術者 2024秋	3118	381	8.2 	12.219%	61.64 	
東大文一 2025(母数：東大受験者)	1139	406	2.8 	35.645%	53.68 	
東大文二 2025(母数：東大受験者)	986	358	2.8 	36.308%	53.50 	
東大文三 2025(母数：東大受験者)	1305	469	2.8 	35.939%	53.60 	
東大理一 2025(母数：東大受験者)	2727	1121	2.4 	41.107%	52.25 	
東大理二 2025(母数：東大受験者)	1876	545	3.4 	29.051%	55.52 	
東大理三 2025(母数：東大受験者)	388	98	4.0 	25.258%	56.66 	
東大文一 2025(母数：大学受験者)	647000	406	1593.6 	0.063%	82.26 	
東大文二 2025(母数：大学受験者)	647000	358	1807.3 	0.055%	82.62 	
東大文三 2025(母数：大学受験者)	647000	469	1379.5 	0.072%	81.85 	
東大理一 2025(母数：大学受験者)	647000	1121	577.2 	0.173%	79.23 	
東大理二 2025(母数：大学受験者)	647000	545	1187.2 	0.084%	81.41 	
東大理三 2025(母数：大学受験者)	647000	98	6602.0 	0.015%	86.13 	
年末ジャンボ宝くじ１等			20000000.0 	0.000%	103.27 	
交通事故死(生涯)			100.0 	1.000%	73.26 	
殺人の被害者(生涯)			10000.0 	0.010%	87.19 	
列車事故死(生涯)			10000.0 	0.010%	87.19 	
船舶事故死(生涯)			50000.0 	0.002%	91.07 	
落雷死(生涯)			1000000.0 	0.000%	97.53 	
飛行機事故死(生涯)			10000000.0 	0.000%	101.99 	
隕石死(生涯)			100000000.0 	0.000%	106.12 	
ミス日本 1968	2338	1	2338.0 	0.043%	83.34 	
ミス日本 1969	1476	1	1476.0 	0.068%	82.04 	
ミス日本 1970	2310	1	2310.0 	0.043%	83.31 	
ミス日本 1971	1006	1	1006.0 	0.099%	80.92 	
ミス日本 1972	1925	1	1925.0 	0.052%	82.80 	
ミス日本 1973	1470	1	1470.0 	0.068%	82.03 	
ミス日本 1974	2373	1	2373.0 	0.042%	83.38 	
ミス日本 1976	1723	1	1723.0 	0.058%	82.48 	
ミス日本 1977	1114	1	1114.0 	0.090%	81.22 	
ミス日本 1978	1249	1	1249.0 	0.080%	81.56 	
ミス日本 1979	1329	1	1329.0 	0.075%	81.74 	
ミス日本 1980	1654	1	1654.0 	0.060%	82.37 	
ミス日本 1981	3310	1	3310.0 	0.030%	84.30 	
ミス日本 1982	2256	1	2256.0 	0.044%	83.24 	
ミス日本 1983	2661	1	2661.0 	0.038%	83.70 	
ミス日本 1984	2051	1	2051.0 	0.049%	82.98 	
ミス日本 1985	2455	1	2455.0 	0.041%	83.48 	
ミス日本 1986	2575	1	2575.0 	0.039%	83.61 	
ミス日本 1987	1555	1	1555.0 	0.064%	82.19 	
ミス日本 1988	1778	1	1778.0 	0.056%	82.57 	
ミス日本 1989	1866	1	1866.0 	0.054%	82.71 	
ミス日本 1990	1760	1	1760.0 	0.057%	82.54 	
ミス日本 1991	1634	1	1634.0 	0.061%	82.33 	
ミス日本 1992	1722	1	1722.0 	0.058%	82.48 	藤原紀香
ミス日本 1993	1942	1	1942.0 	0.051%	82.82 	
ミス日本 1994	2668	1	2668.0 	0.037%	83.71 	
ミス日本 1995	2572	1	2572.0 	0.039%	83.61 	
ミス日本 1996	2046	1	2046.0 	0.049%	82.97 	
ミス日本 1997	2423	1	2423.0 	0.041%	83.44 	
ミス日本 1998	2476	1	2476.0 	0.040%	83.50 	
ミス日本 1999	2888	1	2888.0 	0.035%	83.93 	
ミス日本 2000	3192	1	3192.0 	0.031%	84.20 	
ミス日本 2001	2128	1	2128.0 	0.047%	83.08 	
ミス日本 2002	2088	1	2088.0 	0.048%	83.03 	
ミス日本 2003	2364	1	2364.0 	0.042%	83.37 	
ミス日本 2004	2528	1	2528.0 	0.040%	83.56 	
ミス日本 2005	2289	1	2289.0 	0.044%	83.28 	
ミス日本 2006	2461	1	2461.0 	0.041%	83.48 	
ミス日本 2007	2432	1	2432.0 	0.041%	83.45 	
ミス日本 2008	2941	1	2941.0 	0.034%	83.98 	
ミス日本 2009	3508	1	3508.0 	0.029%	84.45 	
ミス日本 2010	3663	1	3663.0 	0.027%	84.57 	
ミス日本 2011	3169	1	3169.0 	0.032%	84.18 	
ミス日本 2012	3028	1	3028.0 	0.033%	84.05 	
ミス日本 2013	2825	1	2825.0 	0.035%	83.86 	
ミス日本 2014	2533	1	2533.0 	0.039%	83.56 	
ミス日本 2015	2426	1	2426.0 	0.041%	83.44 	
ミス日本 2016	2804	1	2804.0 	0.036%	83.84 	
ミス日本 2017	2156	1	2156.0 	0.046%	83.12 	
ミス日本 2018	2803	1	2803.0 	0.036%	83.84 	
ミス日本 2019	2354	1	2354.0 	0.042%	83.36 	
ミス日本 2020	2525	1	2525.0 	0.040%	83.56 	
藤原紀香	1722	1	1722.0 	0.058%	82.48 	
#プロ野球選手(母数：高校部員)	50000	130	384.6 	0.260%	77.94 	
プロサッカー選手(母数：高校部員)	50000	110	454.5 	0.220%	78.48 	
プロバスケ選手(母数：高校部員)	35000	35	1000.0 	0.100%	80.90 	
プロバレーボール選手(母数：高校部員)	20000	15	1333.3 	0.075%	81.75 	
#プロテニス選手(母数：高校部員)	5000	3	1666.7 	0.060%	82.39 	
プロゴルフ選手	5000	50	100.0 	1.000%	73.26 	
#プロ野球選手(母数：全国大会出場)	1500	130	11.5 	8.667%	63.62 	
プロサッカー選手(母数：全国大会出場)	5000	110	45.5 	2.200%	70.14 	
プロバスケ選手(母数：全国大会出場)	2000	35	57.1 	1.750%	71.08 	
プロバレーボール選手(母数：全国大会出場)	1500	15	100.0 	1.000%	73.26 	
#プロテニス選手(母数：JTAジュニアランキング)	500	3	166.7 	0.600%	75.12 	
大谷翔平(母数：全国大会出場)	150000	1	150000.0 	0.001%	93.55 	百年に一人の逸材と推定
大谷翔平(母数：高校部員)	5000000	1	5000000.0 	0.000%	100.69 	百年に一人の逸材と推定
副業を必要としない芸人	5000	100	50.0 	2.000%	70.54 	
M-1グランプリ 2001	1603	1	1603.0 	0.062%	82.28 	中川家
M-1グランプリ 2002	1756	1	1756.0 	0.057%	82.54 	ますだおかだ
M-1グランプリ 2003	1906	1	1906.0 	0.052%	82.77 	フットボールアワー
M-1グランプリ 2004	2617	1	2617.0 	0.038%	83.65 	アンタッチャブル
M-1グランプリ 2005	3378	1	3378.0 	0.030%	84.35 	ブラックマヨネーズ
